Date,Open,High,Low,Close
2020-08-04,4150.25,4173.25,4136,4152.25
2020-08-05,4152,4166.25,4103.75,4146.75
2020-08-08,4149.75,4188,4129.25,4141.75
2020-08-09,4148.5,4155,4113,4124.5
2020-08-10,4128.75,4213.5,4113.75,4210
2020-08-11,4210.75,4260.5,4202.75,4209.75
2020-08-12,4219.25,4282.75,4208.25,4281
2020-08-13,4277,4304.75,4249,4298.25
2020-08-14,4294.5,4327.5,4278.75,4307.75
2020-08-15,4309.25,4315,4255,4276.75
2020-08-16,4279.5,4295.5,4258,4286.5
2020-08-17,4287,4288,4220.75,4231.5
2020-08-22,4221,4221.5,4131.5,4141.25
2020-08-23,4147,4161.75,4118,4130.5
2020-08-24,4128.25,4158.5,4110.75,4142.75
2020-08-25,4148.75,4202.75,4143,4201
2020-08-26,4198.25,4217.25,4042.75,4059.5
2020-08-29,4024,4064,4006.75,4031.25
2020-08-30,4035.75,4072.75,3964.5,3987.5
2020-08-31,3987.25,4018.25,3953,3956.5
2020-09-01,3958,3971.25,3903.5,3968.75
2020-09-02,3967.5,4019.25,3906,3924.5
2020-09-03,3928.75,3933.75,3915.5,3933
2020-09-06,3932.75,3946,3918.75,3939
2020-09-07,3929,3963.25,3886.75,3910.5
2020-09-08,3907.5,3988.75,3883.5,3980
2020-09-09,3980,4011.5,3942.75,4005.5
2020-09-10,4010.25,4077.25,4005.75,4067.25
2020-09-11,4077.25,4119.75,4062.25,4110.75
2020-09-12,4118.25,4158,3919.75,3931.25
2020-09-13,3936.75,3962.75,3911.25,3947.5
2020-09-14,3955,3959.5,3888,3902
2020-09-15,3888.5,3888.5,3846,3871.24
2020-09-16,3889.5,3927,3846.25,3917.25
2020-09-19,3923,3936.25,3843.25,3872.75
2020-09-20,3878.75,3925.25,3792,3806.25
2020-09-21,3794,3833,3763.5,3772
2020-09-22,3777.25,3783.25,3660.25,3709
2020-09-23,3705.25,3730.5,3657.5,3670
2020-09-25,3668,3733,3635.25,3661
2020-09-26,3668.5,3751.25,3613,3732
2020-09-27,3730.25,3736,3622,3654.25
2020-09-28,3656.5,3693.75,3595.25,3601.5
2020-09-29,3593.25,3711.75,3571.75,3690.25
2020-09-30,3696.5,3808.75,3686.25,3803.25
2020-10-01,3801,3820,3734,3794
2020-10-02,3795.75,3819.5,3750,3756.75
2020-10-03,3745.75,3770.5,3632.5,3653.25
2020-10-04,3638.75,3667.5,3600,3625.25
2020-10-05,3624.75,3653.25,3579,3599.25
2020-10-06,3607,3635.25,3585.5,3588.5
2020-10-07,3596.25,3697.75,3502,3681.75
2020-10-10,3680.25,3733.75,3591.25,3597.5
2020-10-11,3591,3702.5,3590.5,3689.25
2020-10-12,3706.25,3777.25,3697.25,3732.75
2020-10-13,3759.75,3774.25,3676.75,3707.25
2020-10-14,3708,3748,3666.25,3675.25
2020-10-17,3677.75,3773.25,3641.5,3764
2020-10-18,3771,3822,3736.5,3809.25
2020-10-19,3803.25,3874.25,3790,3870.25
2020-10-20,3841,3897.5,3824.25,3841
2020-10-21,3844.25,3870.75,3757.5,3819.5
2020-10-22,3798.25,3924.25,3776.75,3911.25
2020-10-25,3911.5,3914.75,3872.25,3883
2020-10-26,3884,3928,3852.5,3866
2020-10-27,3863,3907,3760.25,3768.75
2020-10-28,3766.75,3782.5,3704.25,3727.75
2020-10-31,3724,3805.5,3711,3779.5
2020-11-01,3750,3821.75,3738.25,3815.25
2020-11-04,3812.75,3867,3792.75,3835.25
2020-11-07,3832.5,3848.75,3750,3755.5
2020-11-08,3757,3973.5,3751.5,3961
2020-11-09,3973,4009.75,3951,4000.25
2020-11-10,3984,4017.5,3964,3966
2020-11-11,3974.75,4050.75,3960,3999.5
2020-11-14,3992,4015.75,3962,3968.5
2020-11-15,3977.25,3990.25,3912.5,3955.25
2020-11-16,3960.5,3994,3942.5,3974
2020-11-17,3972.5,3982,3937.5,3958
2020-11-18,3957.75,4012.5,3945.25,4010.25
2020-11-19,4010,4039.5,4002,4033
2020-11-20,4041,4049,4037.25,4044
2020-11-21,4038.75,4049.25,4024.75,4032.5
2020-11-22,4020.25,4024,3960.25,3970.25
2020-11-23,3972,3990.25,3941.25,3962
2020-11-25,3962.25,4093.5,3942.75,4081.25
2020-11-28,4094.5,4110,4054.5,4081.75
2020-11-29,4077.5,4085.5,4006.75,4075.5
2020-11-30,4074,4075.75,3987.25,4003.25
2020-12-01,4005.75,4014.75,3921.5,3945
2020-12-02,3944.5,3961.5,3914,3936.75
2020-12-03,3935.75,3977.25,3916,3965.75
2020-12-04,3964.75,3990,3930,3936.25
2020-12-05,3933,3992.75,3924.5,3991.75
2020-12-06,3989.25,4145,3985,4022.25
2020-12-07,4021.75,4073,3965.25,3998
2020-12-08,4004.25,4010.25,3878.5,3897
2020-12-09,3890.5,3904.25,3842,3871.47
2020-12-10,3874,3899,3827.25,3845.5
2020-12-11,3842.75,3866.5,3803.5,3849.25
2020-12-12,3857.25,3918.75,3855.5,3905.75
2020-12-13,3915,3919.75,3788.5,3849.25
2020-12-14,3850,3872.5,3821.25,3869.75
2020-12-15,3868.25,3868.25,3868.25,3868.25
2020-12-16,3868.25,3895,3868.25,3893.5
2020-12-17,3878,3900.5,3837.25,3855
2020-12-18,3858,3875,3804.5,3807.5
2020-12-19,3811,3882.75,3806.25,3871.75
2020-12-20,3869.75,3871,3821.5,3861
2020-12-21,3868,3868,3868,3868
2020-12-22,3868,3895.75,3868,3871.5
2020-12-23,3895,3906.75,3814.5,3846
2020-12-24,3842.75,3896.25,3836.5,3874.5
2020-12-25,3871,3885.5,3822.5,3829
2020-12-26,3833,3928.75,3819,3915.5
2020-12-27,3918.5,3973.25,3909.75,3913.75
2020-12-28,3914.5,3943.75,3891.5,3940.75
2020-12-29,3941,3992.5,3934.5,3990
2020-12-30,3991.75,4021.5,3954,4003.5
2020-12-31,4003,4024.25,3961.75,4018.25
2021-01-01,4020.25,4022.25,4011.75,4013.5
2021-01-02,4013,4027.5,3997,4013.5
2021-01-03,4020,4035.25,3996.75,4009.5
2021-01-04,4008.5,4033.5,3943.75,3945.75
2021-01-05,3945.25,3948.75,3901.75,3915.5
2021-01-06,3925,3990.5,3911.75,3988.5
2021-01-07,3987,4056.75,3980.25,4036.5
2021-01-08,4036.5,4047.5,4005.25,4032.75
2021-01-09,4039,4040.5,3963.25,4032
2021-01-10,4031,4077,4027.25,4075.5
2021-01-11,4065,4109.25,4057.25,4084.25
2021-01-12,4077,4086,4029.5,4032.5
2021-01-13,4039.25,4091.25,4007.5,4090
2021-01-14,4085.75,4163.25,4048.5,4132.25
2021-01-15,4145.5,4208.5,4136.75,4191.5
2021-01-16,4176,4194,4132.5,4147.75
2021-01-17,4134.25,4143,4104,4123.5
2021-01-18,4123.5,4188.25,4098.25,4175.75
2021-01-19,4167.25,4179.25,4121.25,4130.5
2021-01-20,4132.25,4170.25,4078.25,4091.75
2021-01-21,4098,4104.25,4060.75,4099.75
2021-01-22,4105,4150.75,4078.75,4147.25
2021-01-23,4149.75,4186.5,4103.75,4145.5
2021-01-24,4141.25,4161.75,4113,4158.25
2021-01-25,4159,4168.5,4095,4099.75
2021-01-26,4095.5,4096,4055.75,4087.5
2021-01-27,4082.75,4085.75,4076.25,4079
2021-01-28,4079,4089.25,4073.25,4076.75
2021-01-29,4083,4089.25,4002,4005.75
2021-01-30,4007.5,4025,3983.75,3999
2021-01-31,4010,4034.25,3974.25,4018.75
2021-02-01,4015.25,4023.25,3947.5,3975.75
2021-02-02,3976.5,4024.75,3973,3988
2021-02-03,3991.5,4003.75,3965,3975.5
2021-02-04,3968.5,3991,3943,3956.5
2021-02-05,3959.75,3995.25,3925,3984.75
2021-02-06,3983,4053,3974,4049.75
2021-02-07,4086.75,4119.5,4079.25,4089.75
2021-02-08,4090,4101.5,4019.75,4027
2021-02-09,4027.25,4041,4009.25,4032.75
2021-02-10,4038,4057.5,3945.75,3956.25
2021-02-11,3955,3978.25,3881,3897.5
2021-02-12,3887.75,3938.75,3808.75,3856.75
2021-02-13,3865.75,3938,3855.25,3920.5
2021-02-14,3920.5,3931,3834,3892.75
2021-02-15,3892.75,3966.5,3863.25,3960.5
2021-02-16,3962.25,3974,3923,3957.05
2021-02-17,3963.75,3989.5,3897.25,3983
2021-02-18,3986.5,4043.25,3981.75,4035.75
2021-02-19,4038.75,4073.75,3966.25,3970.5
2021-02-20,3972.75,4039.5,3948.5,3978
2021-02-21,3988.75,4010.75,3937,4001.25
2021-02-22,4008,4034.25,3997.5,4007.25
2021-02-23,4013.5,4023.75,3980.75,4001.5
2021-02-24,4006.5,4061.25,4006,4057.5
2021-02-25,4058,4087.75,4052.5,4080
2021-02-26,4081,4142.5,4078,4137.75
2021-02-27,4127,4157.75,4122.75,4153.75
2021-02-28,4152.5,4171.75,4115.25,4129
2021-03-01,4134,4135.5,4099,4117.25
2021-03-02,4113.75,4135.25,4096.5,4132
2021-03-03,4129,4146.75,4121,4132
2021-03-04,4139,4143,4098.75,4136.25
2021-03-05,4138.5,4151.75,4128.75,4136.5
2021-03-06,4137.5,4177.75,4113.5,4119
2021-03-07,4117.5,4177,4110.25,4172.75
2021-03-08,4168.75,4189,4138,4163.75
2021-03-09,4174.25,4180.5,4148,4176.75
2021-03-10,4177,4198.25,4164.5,4180
2021-03-11,4176,4187.5,4150.5,4178.5
2021-03-12,4172.25,4173.5,4137,4152.5
2021-03-13,4153.75,4161,4135.25,4156.75
2021-03-14,4150,4164.25,4133.5,4159.5
2021-03-15,4157.25,4158.5,4091.5,4093.25
2021-03-16,4110.25,4116.25,4068.75,4076
2021-03-17,4085.5,4166.5,4080.75,4153.75
2021-03-18,4151,4193.75,4131.5,4188.5
2021-03-19,4190,4206.25,4178.5,4185.75
2021-03-20,4179.5,4191.5,4105.5,4136.75
2021-03-21,4133.25,4167,4095,4107.5
2021-03-22,4087,4118,4062.25,4075.75
2021-03-23,4077.25,4163.25,4076.75,4150.25
2021-03-24,4151,4161,4137.5,4152.75
2021-03-25,4150.5,4153,4131,4134
2021-03-26,4133,4173.25,4112.25,4152
2021-03-27,4152.75,4168.5,4121.5,4143.75
2021-03-28,4144.5,4164.5,4111.75,4138
2021-03-29,4132.25,4156.25,4123,4150
2021-03-30,4148.25,4151.5,4120,4123
2021-03-31,4126,4179,4122,4171.5
2021-04-01,4171.25,4215.75,4161.25,4212
2021-04-02,4215.5,4227.25,4191.5,4204.75
2021-04-03,4189,4221.75,4186.5,4205
2021-04-04,4207.5,4222.75,4153,4158.75
2021-04-05,4158,4166.25,4114,4126
2021-04-06,4157,4175.5,4131.5,4159.75
2021-04-07,4157,4221.25,4146,4213.25
2021-04-08,4238.5,4238.5,4229.75,4230.75
2021-04-09,4230.5,4234.25,4220.25,4222.25
2021-04-10,4239.75,4243.25,4200,4215
2021-04-11,4213,4217.75,4174,4190.5
2021-04-12,4188.5,4239.75,4178,4228
2021-04-13,4231.75,4297.75,4229,4288
2021-04-14,4288,4305.75,4273,4281
2021-04-15,4279.75,4294.75,4268.5,4289.75
2021-04-16,4292.25,4304.75,4269.25,4274.25
2021-04-17,4316,4346,4305.75,4341.75
2021-04-18,4341.75,4369.5,4327.5,4348.75
2021-04-19,4349.75,4391.25,4348.75,4388
2021-04-20,4345,4377.75,4335.75,4371.75
2021-04-21,4372,4394.75,4339.75,4374.25
2021-04-22,4378.75,4441,4350,4426.5
2021-04-23,4424.75,4453.25,4415.25,4453.35
2021-04-24,4457.25,4460.25,4443.25,4446.75
2021-04-25,4458,4462,4410.5,4434.75
2021-04-26,4430.25,4438.5,4403.5,4409.25
2021-04-27,4410,4427,4393,4423.75
2021-04-28,4425.75,4426.25,4381.5,4389
2021-04-29,4390,4403,4368.5,4370.25
2021-04-30,4375.75,4424.75,4371.5,4418.75
2021-05-01,4414,4430.25,4399.25,4417.5
2021-05-02,4423.75,4438,4409.75,4435.75
2021-05-03,4435.25,4498,4433,4488.25
2021-05-04,4485.5,4494,4479.5,4492.25
2021-05-05,4488,4493.75,4486.25,4489.25
2021-05-06,4492,4493.75,4466.25,4483.75
2021-05-07,4481.75,4483.5,4419.5,4447
2021-05-08,4441.25,4476,4431.5,4434
2021-05-09,4437.5,4448.25,4411.25,4444.25
2021-05-10,4445.75,4478.5,4439,4473.5
2021-05-11,4471,4523.75,4470,4507.5
2021-05-12,4510.5,4551.5,4509.25,4543.5
2021-05-13,4539.5,4560.5,4531,4536.75
2021-05-14,4536,4565.75,4528,4553.75
2021-05-15,4550.25,4594.5,4544.75,4587.75
2021-05-16,4582.75,4609.25,4582.25,4597
2021-05-17,4593.25,4594.25,4557.25,4565.5
2021-05-18,4566.25,4590,4561.75,4564.75
2021-05-19,4564,4564,4564,4564
2021-05-20,4564.25,4592.5,4560,4583.5
2021-05-21,4584.5,4608.75,4579.25,4596
2021-05-22,4604.75,4610.75,4573.75,4595.25
2021-05-23,4594.75,4634.5,4553.75,4564.25
2021-05-24,4566,4616.5,4558,4606.5
2021-05-25,4608.75,4619.25,4595.25,4614.5
2021-05-26,4617.75,4621.75,4591,4601.25